"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001","0.0001","0.0001","0.0001","0.0001","0.0001","0.0002","0.0002","0.0002","0.0002","0.0012","0.0002","0.0001","0","0","0","0","0","0","0","0","0","0","0","",
"Africa Eastern and Southern","AFE","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","20.6903","20.2291","21.5048","23.3822","24.2549","24.5739","21.7058","27.3451","29.2312","29.5941","34.5682","36.0134","49.0389","61.6658","65.2955","67.9992","70.4775","71.7545","75.9608","68.7922","70.655","68.6246","66.2288","59.3782","60.0159","66.6012","69.212","70.3311","68.6108","69.9285","68.8308","91.4595","91.8382","87.4709","91.8528","100.0204","98.6737","105.0629","104.4132","81.1227","97.4735","89.6972","89.0951","85.8626","86.0671","88.9053","88.8334","91.977","88.2626","86.4806","78.4684","81.0075","74.6565","72.6329","",
"Afghanistan","AFG","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0.338","0.3463","0.4172","0.2546","0.4172","0.3463","0.3338","0.4339","0.3213","0.3047","0.3464","0.3339","0.3214","0.3339","0.3589","0.3769","0.377","0.2561","0.2141","0.0471","0.0302","0.03","0.0253","0.0251","0.0251","0.0251","0.0251","0.025","0.025","0.025","0.025","0.0253","0.0003","0.0004","0.0002","0.0021","0.0025","0.0037","0.0073","0.0145","0.0219","0.0315","0.0306","0.0301","0.1794","0.3803","0.4149","0.2894","0.207","0.2094","0.4048","0.1916","0.1921","0.1956","",
"Africa Western and Central","AFW","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","24.5014","38.8103","50.3084","69.7048","90.5903","65.1312","73.3112","56.0722","54.8574","84.6425","71.3561","51.5192","44.3688","45.3388","49.7383","52.622","50.983","45.7055","50.0504","55.1897","55.9207","57.7784","60.2925","61.6538","63.7683","70.4642","83.3809","76.0153","70.9","68.798","75.554","76.7403","63.3118","70.5478","67.269","66.1738","59.3197","53.6582","53.5343","49.83","51.8131","51.9952","42.2647","43.1704","42.0603","41.1099","38.9157","40.3344","39.3199","39.9145","38.2183","35.2812","32.226","31.8552","",
"Angola","AGO","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","7.1559","6.7013","7.7155","8.8428","9.2488","8.5778","5.279","10.4733","11.5481","11.562","11.6605","10.7163","10.5865","10.9696","11.2053","11.3361","11.4587","11.7001","11.7244","11.8284","7.3381","7.7982","8.2438","7.9648","7.3588","9.092","11.5539","12.1273","13.3264","13.3339","11.907","11.1122","10.3525","10.1303","9.8169","9.2802","7.9075","7.0048","6.9254","6.768","8.0997","8.1212","6.6301","6.5771","7.2072","8.5442","9.0735","8.5275","6.5473","5.7101","4.9088","4.5231","4.2133","4.4419","",
"Albania","ALB","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0.4445","0.4528","0.532","0.3695","0.4965","0.455","0.4426","0.6131","0.5068","0.4845","0.4705","0.6056","0.6193","0.6019","0.6293","0.6486","0.6508","0.5269","0.4552","0.4444","0.4034","0.3456","0.2538","0.2536","0.2957","0.141","0.1111","0.1159","0.114","0.0811","0.1011","0.077","0.1017","0.1899","0.1115","0.1573","0.1217","0.236","0.2809","0.1277","0.0808","0.1229","0.096","0.0482","0.132","0.1168","0.1675","0.2694","0.1622","0.2058","0.1409","0.154","0.14","0.1248","",
"Andorra","AND","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","170.146","187.728","209.6257","251.4713","232.0564","219.1602","266.25","257.509","256.1432","240.3035","225.1983","160.8748","147.708","134.2081","115.3407","116.9571","121.3498","118.799","123.9242","123.4474","115.3719","137.7796","123.3486","124.9259","136.4927","140.6902","143.7535","147.8187","144.2681","150.8592","156.8091","148.4504","147.4795","159.7427","160.9299","163.526","168.9365","166.7808","174.4189","169.0433","179.6837","181.6667","210.8667","216.5373","230.8898","229.7653","231.9027","238.1549","242.4788","244.1403","238.2672","245.8083","247.4307","248.2535","",
"United Arab Emirates","ARE","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","16.3906","22.3199","24.4523","31.8719","31.8948","31.0175","38.4292","34.5537","39.822","22.8287","21.5427","14.1736","12.1164","11.6325","16.2229","14.2863","9.0337","6.4222","4.2729","3.5571","3.443","3.8034","4.0866","4.309","4.751","5.2712","5.6038","5.054","4.4783","4.472","4.7464","4.5872","4.2648","4.4555","4.0681","4.1605","4.3034","4.222","4.0516","3.9566","4.3604","4.4649","4.4865","5.0657","4.5734","4.9147","4.6571","4.9197","5.5052","4.8583","4.6317","4.7288","4.9989","5.0496","",
"Argentina","ARG","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","11.3081","11.3181","12.0167","12.2597","11.8594","12.0391","12.7266","13.5345","13.6115","14.7596","14.931","14.254","15.0707","15.1175","14.9066","15.333","15.7849","15.2653","15.5419","15.4651","13.445","14.1695","14.089","12.9495","12.564","12.1257","12.0772","13.8422","15.7386","16.2305","15.9587","16.9862","17.0488","17.5254","17.792","16.6045","16.3825","19.5074","21.5322","19.5154","20.1579","18.2429","21.745","20.8365","21.7875","22.6358","22.0605","22.342","23.1075","25.0498","24.2444","22.761","22.8195","22.9283","",
"Armenia","ARM","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0.07","0.07","0.0714","0.073","0.0745","0.0707","0.077","0.0792","0.1419","0.1457","0.1453","0.1453","0.1467","0.1466","0.1508","0.1585","0.1604","0.1619","0.164","0.1656","0.1755","0.1333","0.0565","0.0222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2912","0.2855","0.2912","0.3057","0.2524","0.2331","0.2018","0.2264","0.2128","0.2017","",
"American Samoa","ASM","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Australia","AUS","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","11.1072","11.1494","11.7","11.731","16.3103","16.8497","16.9033","16.7594","18.8172","17.7175","17.0092","16.7576","17.3374","17.4029","16.7466","18.6005","17.4224","18.7123","18.618","20.5232","19.5994","20.4644","19.5571","19.435","18.4326","18.7936","19.5566","20.6429","21.088","20.8887","20.6879","19.9689","17.41","22.5794","23.0099","21.9872","23.4098","24.4183","24.236","23.2834","30.7579","30.7508","28.5202","29.3201","28.9725","27.8238","29.9003","33.0715","34.5605","38.072","37.9174","36.7543","37.0004","35.2969","",
"Austria","AUT","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","3.2661","3.4826","3.3706","3.3193","3.4771","3.5499","3.8256","3.5448","3.4308","3.5097","3.552","3.0438","2.7047","3.1057","3.2275","3.3829","3.5288","3.4679","3.6574","3.426","6.1123","5.8526","5.5334","5.8498","6.4196","6.5928","5.852","6.4187","6.8689","6.0211","6.5407","6.6896","7.7566","7.1571","7.4615","8.1177","8.062","8.1038","8.8329","6.1955","7.7951","8.2635","7.5714","7.4401","7.4671","6.575","6.1103","6.1535","5.3981","6.2069","5.7537","6.1554","5.7107","5.7057","",
"Azerbaijan","AZE","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","1.9462","1.9462","2.0496","2.1639","2.2799","2.3146","2.4425","2.5264","3.2759","3.3583","3.4119","3.4301","3.4582","3.458","3.4818","3.5523","3.569","3.64","3.6645","3.6617","3.7231","3.7488","2.9108","2.3583","1.6425","1.4992","1.7222","1.4956","2.0148","2.5677","2.2085","2.8039","2.7226","3.2037","3.5597","3.7633","4.135","3.2707","4.589","4.8012","4.0036","4.2122","4.5524","4.6266","4.3631","4.4142","3.7866","3.7318","3.2841","3.7165","3.0178","3.135","3.1983","3.5193","",
"Burundi","BDI","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0.0009","0.0009","0.0009","0.0009","0.001","0.0009","0.0009","0.0009","0.001","0.0011","0.0012","0.0005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Belgium","BEL","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","7.3128","4.1376","5.5378","4.8631","5.7393","5.7904","9.8216","9.7755","8.2639","9.6124","9.7255","8.008","6.6695","6.6168","7.0689","6.2109","6.8829","7.1743","7.1716","6.7024","7.0467","7.0645","6.2461","5.7505","6.0316","5.4499","6.0492","5.3971","5.4954","4.7207","5.1908","5.2261","5.3516","5.4221","5.197","4.7754","4.8945","5.2579","4.9951","5.1775","7.3281","6.622","6.2892","6.0756","6.2029","6.2426","6.288","6.515","6.6221","7.0186","5.8752","6.1061","5.5594","5.5317","",
"Benin","BEN","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0032","0.0449","0.0015","0","0.0043","0.0041","0.0437","0.0457","0.046","",
"Burkina Faso","BFA","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0.0039","0.0039","0.004","0.004","0.0045","0.0039","0.0039","0.004","0.0041","0.0047","0.0053","0.0018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Bangladesh","BGD","Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e)","EN.GHG.CO2.FE.MT.CE.AR5","","","","","","","","","","","0.1273","0.1273","0.1273","0.1215","0.0592","0.1332","0.145","0.2309","0.2209","0.2308","0.23","0.5177","0.4754","1.4871","0.8426","0.5829","0.5448","0.6701","0.499","0.6354","0.5949","0.583","0.6381","1.0268","0.7817","0.7444","0.68","0.9306","0.9111","0.9095","0.6646","0.7271","0.746","0.8105","0.8225","0.7936","0.9098","0.9599","1.0046","1.0634","1.184","1.1998","1.2532","0.4354","1.2866","1.3214","1.2861","1.3008","1.289","1.3148","1.2825","1.3565","1.3309","1.3257","",
